feature,ic_pearson,ic_p_pvalue,ic_spearman,ic_s_pvalue,ic_p_ci_lo,ic_p_ci_hi,sign_match,n,feat_std,abs_ic_p
poi_pro_fut_stk_net,0.10354572726800408,0.19116952541678905,0.11535254198297677,0.14508223429270126,-0.0003839370297734141,0.22432966064298576,0.5714285714285714,161,83383.77288454797,0.10354572726800408
pvol_client_opt_idx_ce_short,0.10257247517773313,0.1953976501577042,0.07704738900391075,0.3313246273365169,-0.06540948367873593,0.2567088475839229,0.4968944099378882,161,19250508.893802896,0.10257247517773313
pvol_client_opt_idx_ce_long,0.10240662420343699,0.1961248813680188,0.07682022084195998,0.3327565478955353,-0.05666090899729309,0.24905076248359892,0.4968944099378882,161,19200455.719614994,0.10240662420343699
pvol_client_opt_idx_pe_short,0.10201593344303754,0.19784576052162592,0.07741833448355188,0.3289949255697533,-0.04446237410238643,0.2516418637759632,0.5093167701863354,161,19366589.33348277,0.10201593344303754
fii_stats_idx_opt_buy_contracts,0.10198498625907965,0.19798254010592023,0.07270818955601566,0.3593581095758144,-0.06549257067665686,0.2549566030565252,0.5217391304347826,161,6919036.756632585,0.10198498625907965
fii_stats_bn_opt_buy_contracts,0.10187729355896538,0.19845905166006889,-0.04284276512537383,0.5894550810638195,-0.023498847198653534,0.2238885344689829,0.4720496894409938,161,1027647.5123128054,0.10187729355896538
pvol_client_opt_idx_pe_long,0.10176650347118774,0.1989501346224925,0.07719979296066254,0.3303661872353314,-0.04569645304244104,0.24600130161520042,0.5093167701863354,161,19348493.55774616,0.10176650347118774
poi_fii_opt_idx_ce_short,-0.10132329257272789,0.2009234899024413,-0.08513054980446286,0.28294845326744605,-0.24830885867214575,0.050112472457744354,0.484472049689441,161,159299.81029857908,0.10132329257272789
fii_stats_bn_opt_sell_contracts,0.10105092096411346,0.20214319556028187,-0.04518633540372671,0.5692382644716083,-0.01196545304979861,0.221726551953415,0.4720496894409938,161,1033964.2177130932,0.10105092096411346
mkt_idx_opt_contracts,0.1010445546739547,0.2021717681973276,0.06445824706694273,0.4165874488961504,-0.04454798415816175,0.2636901468920852,0.4968944099378882,161,126629674.14524764,0.1010445546739547
fii_stats_idx_opt_buy_crore,0.10090245910980017,0.20281026830380144,0.061062226823096394,0.44161189717241944,-0.05824424022860662,0.2612865144736476,0.484472049689441,161,1175336.65407353,0.10090245910980017
fii_stats_idx_opt_sell_contracts,0.10077098920127096,0.20340231719707047,0.07200080515297907,0.36406424080807887,-0.07610848447114903,0.2872307983673699,0.5217391304347826,161,6927922.907066493,0.10077098920127096
fii_stats_ni_opt_net_contracts,0.10049353046928415,0.2046558868526742,0.05822406257188867,0.46316405575502206,-0.0812623795524251,0.27026650259538304,0.5217391304347826,161,70671.03786598245,0.10049353046928415
fii_stats_ni_opt_net_crore,0.10000713751938557,0.2068668417628412,0.05833045778697953,0.4623457872884391,-0.06801977151849274,0.272375678483344,0.5217391304347826,161,12613.272668274485,0.10000713751938557
pvol_pro_opt_idx_ce_short,0.09995466555828975,0.2071063813933972,0.07069243156199678,0.3728687038348423,-0.06807856918419673,0.25599586293492005,0.5093167701863354,161,41154161.928687386,0.09995466555828975
pvol_pro_opt_idx_ce_long,0.09995234169393305,0.20711699467003256,0.07162985967333795,0.366547274944816,-0.04897700796366475,0.2577683213387201,0.5093167701863354,161,41200179.549828485,0.09995234169393305
mkt_idx_opt_crore,0.09979276802026725,0.20784671596029736,0.06257763975155281,0.43034136240933374,-0.04361496800762672,0.26246182823086106,0.484472049689441,161,21647415.51410825,0.09979276802026725
fii_stats_idx_opt_sell_crore,0.09976418562492273,0.2079776164123069,0.0592305037957212,0.4554557393018148,-0.05966338063013358,0.2668694852070765,0.484472049689441,161,1175376.8889252348,0.09976418562492273
pvol_dii_opt_idx_pe_short,0.09950620999050261,0.20916176219285368,0.15530080924743928,0.04916661618932958,-0.012042921677875905,0.2124536650885474,0.5838509316770186,161,4653.394938090331,0.09950620999050261
pvol_client_total_net,-0.09913601734136956,0.21086944048401488,-0.0966931216931217,0.2223891700335779,-0.2296835487832063,0.022101286884571265,0.4720496894409938,161,168648.2787174339,0.09913601734136956
pvol_client_total_short,0.09871182723936041,0.21283845967928622,0.06332240625718887,0.42486351530542044,-0.028172894011755854,0.23345571073522836,0.484472049689441,161,38443684.48709272,0.09871182723936041
pvol_client_total_long,0.09847120256329864,0.21396122703607467,0.06373648493213711,0.42183545455699445,-0.057378500225647784,0.251979345412876,0.484472049689441,161,38367838.76405105,0.09847120256329864
poi_dii_fut_idx_short,-0.09841547346890865,0.21422186437214458,-0.13954053548541476,0.07749277299493604,-0.3456389334123087,0.11668538466519533,0.4472049689440994,161,6519.542556573433,0.09841547346890865
banknifty_max_pain_dev_pct,0.09769063412179742,0.21763251431694156,0.1520128824476651,0.05422929414076729,-0.10730795401373328,0.4000970103165864,0.5714285714285714,161,1.6754353403956832,0.09769063412179742
